country,harbour_cd,harbour_name
ESP,ESCLP,Calpe
ESP,ESIAS,Camarias
ESP,ESCBD,Cambados
ESP,ESCBL,Cambrils
ESP,ESCMY,Camelle
ESP,ESECP,Campello
ESP,ESCPE,Campelo
ESP,ESCA2,Candas
ESP,ESCEI,Candelaria
ESP,ESCAG,Cangas
ESP,ESCAW,Canido
ESP,ESCRS,Carboneras
ESP,ESCNO,Cario
ESP,ESDAA,Carreira-Aguio
ESP,ESCIL,Carril
ESP,ESCAR,Cartagena
ESP,ESCDK,CasasDeAlcanar
ESP,ESCDF,Castelldefels
ESP,ESCAY,CastelldeFerro
ESP,ESCAS,CastellondelaPlana(ElGrao)
ESP,ESCCM,CastillodelRomeral
ESP,ESCSO,Castropol
ESP,ESCSU,CastroUrdiales
ESP,ESCIN,Cayon
ESP,ESCAD,Cdiz
ESP,ESCED,Cedeira
ESP,ESCEE,Cee
ESP,ESCLY,Celorio
ESP,ESCEU,Ceuta
ESP,ESALK,check it!
ESP,ESCHP,Chipiona
ESP,ESCIV,Ciervana
ESP,ESCIO,Cillero
ESP,ESQIU,Ciudadela
ESP,ESCOD,Colindres
ESP,ESCSB,ColoniaSanJorge
ESP,ESCBY,Combarro
ESP,ESOLL,Comillas
ESP,ESZEA,Conil
ESP,ESCCN,Corcubin
ESP,ESCOX,Corme
ESP,ESZRJ,Corralejo
ESP,ESCR2,Corrubedo
ESP,ESCLO,Cudillero
ESP,ESERA,Cullera
ESP,ESDEL,Deltebre
ESP,ESDNA,Denia
ESP,ESDVA,Deva
ESP,ESEEM,Elanchove
ESP,ESEEN,ElCotillo
ESP,ESEGR,ElGrove
ESP,ESMSN,ElMasnou
ESP,ESMED,ElMedano
ESP,ESEPL,ElPalo-PuertoCandado
ESP,ESEPC,ElPerell(Sueca)
ESP,ESEAN,ElPindo
ESP,ESZMG,ElPris-Tacoronte
ESP,ESPGU,ElPuertitodeGimar
ESP,ESEEL,ElPuntal
ESP,ESERO,ElRompido
ESP,ESESC,Escombreras
ESP,ESEPT,Espasante
ESP,ESETT,Estartit
ESP,ESEPN,Estepona
ESP,ESFRO,Ferrol
ESP,ESFGU,Figueras
ESP,ESFNE,Finisterre
ESP,ESFNI,Formentera(CalaSavina)
ESP,ESFRN,Fornells
ESP,ESZBE,Foz
ESP,ESFHR,Fuencaliente
ESP,ESFGL,Fuengirola
ESP,ESEWE,Fuenterrabia
ESP,ESGAN,Gandia
ESP,ESGRC,Garachico
ESP,ESGAR,Garrucha
ESP,ESGIJ,Gijon(ElMusel)
ESP,ESGAB,GranadilladeAbona
ESP,ESGTL,GranTarajal
ESP,ESZFJ,GuadeIsora
ESP,ESGDS,GuardamardelSegura
ESP,ESGTI,Guetaria
ESP,ESAGU,guilas
ESP,ESHUV,Huelva
ESP,ESIBZ,Ibiza
ESP,ESZGA,IslaCristina
ESP,ESIAL,IsladeArosa
ESP,ESIAM,IsladeTabarca
ESP,ESJAV,Javea
ESP,ESLAH,LaAldea
ESP,ESKLL,LaAmetllaDeMar
ESP,ESUNR,LaAtunara
ESP,ESBAR,LaBarranquera
ESP,ESLCT,LaCaleta(CaletadeVelez)
ESP,ESLCI,LaCaletadeInterin
ESP,ESCRQ,LaCarihuela
ESP,ESLCG,LaCorua
ESP,ESGLE,LaEscala
ESP,ESLES,LaEstaca
ESP,ESLAX,Lage
ESP,ESAGD,LaGuardia
ESP,ESLLI,LaLineadelaConcepcin
ESP,ESLPC,LaPuebladelCaramial
ESP,ESLDO,Laredo
ESP,ESLAF,LaRestinga
ESP,ESLST,LaSanta-Tinajo
ESP,ESLRS,LasArenas
ESP,ESZBB,LasGalletas
ESP,ESLPA,LasPalmas-PuertodelaLuz
ESP,ESLS3,Lastres
ESP,ESLEP,Lepe
ESP,ESLEQ,Lequeitio
ESP,ESLRT,Lira-Carnota
ESP,ESLNS,Llanes
ESP,ESLLC,Llansa
ESP,ESLLO,LloretdeMar
ESP,ESLRC,Lorbe
ESP,ESABG,LosAbrigos
ESP,ESLCR,LosCristianos
ESP,ESLAK,LosGigantes
ESP,ESLSI,LosSilos
ESP,ESLCO,Luanco
ESP,ESLUA,Luarca
ESP,ESMAH,Mahn
ESP,ESMAM,Malgrat
ESP,ESMAI,MalpicadeBergantios
ESP,ESMQE,Marbella
ESP,ESMPG,Marin
ESP,ESMTO,Matar
ESP,ESMAN,Mazagn
ESP,ESMZO,Mazarron
ESP,ESMEI,Meira
ESP,ESMLN,Melilla
ESP,ESMEO,Mera-Oleiros
ESP,ESMNO,Mio
ESP,ESAGP,Mlaga
ESP,ESMOA,Moaa
ESP,ESZIH,Mogn
ESP,ESMTG,Montgat
ESP,ESMRA,Moraira
ESP,ESMHR,MorroJable
ESP,ESMTU,Motrico
ESP,ESMOT,Motril
ESP,ESMGR,Mugardos
ESP,ESMGA,Mugia
ESP,ESDAC,Mundaca
ESP,ESMRS,Muros
ESP,ESNEM,Niembro
ESP,ESNOA,Noia
ESP,ESOLV,Oliva
ESP,ESOND,Ondarroa
ESP,ESORI,Orio
ESP,ESOPM,OropesadelMar
ESP,ESSTR,Ortiguera
ESP,ESOZL,Orzola
ESP,ESOVN,Oviana
ESP,ESPAL,Palams
ESP,ESPMI,PalmadeMallorca
ESP,ESPMA,Palmeira
ESP,ESPFT,PalosdelaFrontera
ESP,ESPNJ,Panjn
ESP,ESPAS,Pasajes
ESP,ESQAA,Perellonet
ESP,ESPNL,Pescola
ESP,ESZJM,Pineda
ESP,ESQLY,PlayaBlanca
ESP,ESPPS,PlayadeSantiago(Gomera)
ESP,ESPSJ,PlayaSanJuan-GuiaIsora
ESP,ESPAM,PlayaSanMarcos
ESP,ESZOD,Plencia
ESP,ESPSA,Pollensa
ESP,ESZJU,Pontecesures
ESP,ESPEV,Pontevedra
ESP,ESPAB,PorsdeAbona
ESP,ESPBO,PortBou
ESP,ESQAJ,PortdelaSelva
ESP,ESPRD,PortoColom
ESP,ESPCR,PortoCristo
ESP,ESZJN,Portonovo
ESP,ESPRT,Portosn
ESP,ESPOR,Portugalete
ESP,ESVZZ,PremideMar
ESP,ESPTD,Puentedeume
ESP,ESPCL,PuertoColon(PlayaAmericas)
ESP,ESRUZ,PuertodelaCruz
ESP,ESPUC,PuertodelCarmen
ESP,ESFUE,PuertodelRosario
ESP,ESPTN,PuertodelSon
ESP,ESMOR,PuertodeMors
ESP,ESPSM,PuertodeSantaMara
ESP,ESQAE,PuertodeSantiago
ESP,ESPSL,PuertodeSller
ESP,ESPVG,PuertodeVega
ESP,ESQAI,PuertoEspindola
ESP,ESQAH,PuertoNaos
ESP,ESPUS,PuertoReal
ESP,ESPTM,PuntadelMoral
ESP,ESPHD,PuntaHidalgo
ESP,ESZJY,PuntaUmbria
ESP,ESRAC,Rajo
ESP,ESREE,Redes
ESP,ESRED,Redondela
ESP,ESRTA,Rentera
ESP,ESRQD,Requejada
ESP,ESRIA,Rianjo
ESP,ESRIB,Ribadeo
ESP,ESRBS,Ribadesella
ESP,ESRHR,Rinlo
ESP,ESRQM,RoquetasdeMar
ESP,ESROS,Rosas
ESP,ESROT,Rota
ESP,ESSAD,Sada
ESP,ESSAG,Sagunto
ESP,ESSAT,Salinetas
ESP,ESSAN,SanAdrin
ESP,ESSEM,SanAndrs
ESP,ESSAA,SanAntonioAbad
ESP,ESSCR,SanCarlosdelaRpita
ESP,ESSCI,SanCiprin
ESP,ESSCK,SanCristbal
ESP,ESSPT,SanctiPetri
ESP,ESSEO,SanEstebandePravia
ESP,ESSFU,SanFeliudeGuixols
ESP,ESSFO,SanFernando
ESP,ESSXX,Sanjenjo
ESP,ESJLA,SanJuandelaArena
ESP,ESSBA,SanlucarDeBarrameda
ESP,ESMDT,SanMigueldeTajao
ESP,ESSPP,SanPedrodelPinatar
ESP,ESSAP,SanPedroPescador
ESP,ESZME,SanPoldeMar
ESP,ESEAS,SanSebastin
ESP,ESGMR,SanSebastindelaGomera
ESP,ESSNY,Santa
ESP,ESCOS,SantaCristinadeCobres
ESP,ESSPC,SantaCruzdeLaPalma
ESP,ESSCT,SantaCruzdeTenerife
ESP,ESSNI,SantaEugeniadeRiveira
ESP,ESSMR,SantaMartadeOrtigueira
ESP,ESSDR,Santander
ESP,ESSPO,SantaPola
ESP,ESSNN,Santoa
ESP,ESSNR,Santurce
ESP,ESSVB,SanVicentedelaBarquera
ESP,ESSRL,SardinadeGldar
ESP,ESZMF,Sauzal
ESP,ESETY,S'EstanyoldeMigjorn
ESP,ESSVQ,Sevilla
ESP,ESSIT,Sitges
ESP,ES999,Spain-Unknown
ESP,ESSUN,Suances
ESP,ESTAN,Taliarte-Melenara
ESP,ESTPC,TapiadeCasariego
ESP,ESTRF,Tarifa
ESP,ESTAR,Tarragona
ESP,ESTAZ,Tazacorte
ESP,ESTZN,Tazones
ESP,ESTAG,Teis-Chapela
ESP,ESTDM,TorredelMar
ESP,ESTRR,Torredembarra
ESP,ESTOR,Torrevieja
ESP,ESTOT,Tortosa
ESP,ESTKG,TossadeMar
ESP,ESTUY,Ty
ESP,ESVLC,Valencia
ESP,ESVGR,ValleGranRey
ESP,ESVGE,ValleGuerra
ESP,ESVIZ,Viavelez
ESP,ESVIE,Vicedo
ESP,ESVGO,Vigo
ESP,ESVLG,VilanovaylaGeltr
ESP,ESMAZ,VilladeMazo
ESP,ESVIL,VillagarciadeArosa
ESP,ESVJY,Villajoyosa
ESP,ESVEM,Villajuan
ESP,ESVEN,Villanueva
ESP,ESVCR,Villaricos
ESP,ESVZR,Vinaroz
ESP,ESVIV,Vivero
ESP,ESVMG,Vlez-Mlaga
ESP,ESZAU,Zarauz
ESP,ESZMY,Zumaya
FRA,FRABB,Abbeville
FRA,FRAWR,AberWrac'h
FRA,FRAOO,Adour
FRA,FRAGD,Agde
FRA,FRAGF,Agen
FRA,FRAOV,Agon-Coutainville
FRA,FRAYS,Aire-sur-la-Lys
FRA,FRAYZ,Aise
FRA,FRQXB,Aix-en-Provence
FRA,FRAJA,Ajaccio
FRA,FRATV,Albertville
FRA,FRALE,Alenon
FRA,FRALS,Als
FRA,FRAMB,Ambrieux-en-Dombes
FRA,FRAMI,Amiens
FRA,FRADB,Andernos-les-Bains
FRA,FRANE,Angers
FRA,FRAJJ,Angoulins
FRA,FRANG,Angoulme
FRA,FRNCY,Annecy
FRA,FRANM,Annemasse
FRA,FRA2M,Anneville-sur-Mer
FRA,FRANT,Antibes
FRA,FRARC,Arcachon
FRA,FRALM,Argels-sur-Mer
FRA,FRAR5,Argenton
FRA,FRARL,Arles
FRA,FRADN,Arradon
FRA,FRARR,Arras
FRA,FRR4B,Arromanches-les-Bains
FRA,FRTWA,Ars
FRA,FRAER,Ars-en-R
FRA,FRART,Artix
FRA,FRAZR,Arzal
FRA,FRRZN,Arzon
FRA,FRAA2,Asnelles
FRA,FRAQU,Asques
FRA,FROBS,Aubenas
FRA,FRAUG,Aubergenville
FRA,FRAUC,Auch
FRA,FRAA4,Audenge
FRA,FRAUD,Audierne
FRA,FRAD3,Audresselles
FRA,FRASB,Aulnay-sous-Bois
FRA,FRAUL,Aulnoye-Aymeries
FRA,FRZEG,Auray
FRA,FRAUR,Aurillac
FRA,FRAUF,Auxerre
FRA,FRAVN,Avignon
FRA,FRAVF,Avoriaz
FRA,FRAVR,Avranches
FRA,FRXLT,Ax-les-Thermes
FRA,FRBB4,BaiedeBourgneuf
FRA,FRXBD,Bandol
FRA,FRBAN,Bantzenheim
FRA,FRUYR,Banyuls-sur-Mer
FRA,FRBAE,Barcelonnette
FRA,FR2GX,Barfleur
FRA,FRBLD,Bar-le-Duc
FRA,FRBNV,Barneville-Carteret
FRA,FRBAI,Basse-Indre
FRA,FRBAS,Bassens
FRA,FRBIA,Bastia
FRA,FRBAT,Batilly
FRA,FRBMR,Batz-sur-Mer
FRA,FRBAY,Bayonne
FRA,FRB6P,Beaumont-de-Pertuis
FRA,FR5BY,Beaunay
FRA,FRBEA,Beaune
FRA,FRBVA,Beauvais
FRA,FRBEC,Becd'Ambs
FRA,FRBM5,BegMeil
FRA,FRBM6,BegMelen
FRA,FRBOR,Belfort
FRA,FRBEL,Bellegarde-sur-Valserine
FRA,FRBI4,Belle-le-en-Mer
FRA,FRBSS,Belleville-sur-Sane
FRA,FRBRA,Bercy
FRA,FREGC,Bergerac
FRA,FRBEI,Berguette
FRA,FRBM7,Bernires-sur-Mer
FRA,FRBEE,Berre
FRA,FRETB,Berre-l'tang
FRA,FRBEV,Berville-sur-Mer
FRA,FRBSN,Besanon
FRA,FRBR2,Bestre
FRA,FRBIQ,Biarritz
FRA,FRBDD,Bidart
FRA,FRZBE,Biganos
FRA,FRBI3,Billiers
FRA,FRBN2,Binic
FRA,FRBIM,Bischheim
FRA,FRBLA,Blainville-sur-l'Eau
FRA,FRBVM,Blainville-sur-Mer
FRA,FRBYE,Blaye
FRA,FRBLO,Blois
FRA,FRBEG,Bning-ls-Saint-Avold
FRA,FRDBE,Bnodet
FRA,FRBON,Bonifacio
FRA,FRBNL,Bonneuil-les-Eaux
FRA,FRBO2,Bono
FRA,FRBSC,Bonsecours
FRA,FRBOD,Bordeaux
FRA,FRBAU,Boucau
FRA,FRBOL,Boulogne-sur-Mer
FRA,FRBH4,Bourcefranc-le-Chapus
FRA,FRBOU,Bourges
FRA,FROUR,Bourgogne
FRA,FRBSG,Bourg-sur-Gironde
FRA,FRBNS,Boussens
FRA,FRBZ6,Bouzigues
FRA,FRGUZ,Bouzigues
FRA,FRBES,Brest
FRA,FRBH3,Brhec
FRA,FRBM8,Bricqueville-sur-Mer
FRA,FRBG4,Brigneau
FRA,FRBGG,Brignogan-Plage
FRA,FRBVE,Brive-la-Gaillarde
FRA,FRLYN,BronApt/Lyon
FRA,FRBG6,Brouage
