a3_code,scientific_name,species_family,species_order
LOH,Labeo pangusia,Cyprinidae,CYPRINIFORMES
LOI,Labeo microphthalmus,Cyprinidae,CYPRINIFORMES
LOJ,Panulirus longipes,Palinuridae,REPTANTIA
LOK,Panulirus homarus,Palinuridae,REPTANTIA
LOL,Labeo niloticus,Cyprinidae,CYPRINIFORMES
LOM,Labeo mesops,Cyprinidae,CYPRINIFORMES
LON,Labeo nandina,Cyprinidae,CYPRINIFORMES
LOO,Odontaspis ferox,Odontaspididae,LAMNIFORMES
LOP,Lophotus capellei,Lophotidae,LAMPRIFORMES
LOQ,Galatheidae,Galatheidae,ANOMURA
LOR,Jasus edwardsii,Palinuridae,REPTANTIA
LOS,Scyllaridae,Scyllaridae,REPTANTIA
LOT,Thunnus tonggol,Scombridae,SCOMBROIDEI
LOU,Carcharias tricuspidatus,Odontaspididae,LAMNIFORMES
LOV,Leptoscarus vaigiensis,Scaridae,PERCOIDEI
LOW,Larus fuscus,Laridae,CHARADRIIFORMES
LOX,Reptantia,,REPTANTIA
LOY,Panulirus regius,Palinuridae,REPTANTIA
LOZ,Lobotes pacificus,Lobotidae,PERCOIDEI
LPA,Lepidarchus adonis,Alestidae,CHARACIFORMES
LPB,Leporinus obtusidens,Anostomidae,CHARACIFORMES
LPC,Leporinus fasciatus,Anostomidae,CHARACIFORMES
LPD,Leporinus friderici,Anostomidae,CHARACIFORMES
LPE,Lepidion ensiferus,Moridae,GADIFORMES
LPF,Pyrrhulina filamentosa,Lebiasinidae,CHARACIFORMES
LPG,Leptocypris guineensis,Cyprinidae,CYPRINIFORMES
LPH,Lepidion guentheri,Moridae,GADIFORMES
LPI,Luciopimelodus pati,Pimelodidae,SILURIFORMES
LPJ,Lepidion lepidion,Moridae,GADIFORMES
LPK,Leucalburnus kosswigi,Cyprinidae,CYPRINIFORMES
LPL,Lampanyctus alatus,Myctophidae,MYCTOPHIFORMES
LPM,Lepthoplosternum altamazonicum,Callichthyidae,SILURIFORMES
LPN,Leptocypris niloticus,Cyprinidae,CYPRINIFORMES
LPO,Leptocharacidium omospilus,Characidae,CHARACIFORMES
LPP,Piabucina panamensis,Lebiasinidae,CHARACIFORMES
LPQ,Lophiobagrus aquilus,Bagridae,SILURIFORMES
LPR,Leporinus granti,Anostomidae,CHARACIFORMES
LPS,Lepidion eques,Moridae,GADIFORMES
LPT,Lepidopygopsis typus,Cyprinidae,CYPRINIFORMES
LPU,Leporellus vittatus,Anostomidae,CHARACIFORMES
LPV,Lepidomeda vittata,Cyprinidae,CYPRINIFORMES
LPW,Lepophidium brevibarbe,Ophidiidae,OPHIDIIFORMES
LPX,Liparidae,Liparidae,SCORPAENIFORMES
LPY,Lampanyctus ater,Myctophidae,MYCTOPHIFORMES
LPZ,Patella spp.,Patellidae,GASTROPODA
LQA,Liocarcinus arcuatus,Portunidae,BRACHYURA
LQB,Lucinoma borealis,Lucinidae,BIVALVIA
LQC,Patella caerulea,Patellidae,GASTROPODA
LQD,Laminaria digitata,Laminariaceae,PHAEOPHYCEAE
LQF,Patella ferruginea,Patellidae,GASTROPODA
LQG,Malletia gigantea,Malletiidae,BIVALVIA
LQH,Lysiosquilla hoevenii,Lysiosquillidae,STOMATOPODA
LQI,Limopsis marionensis,Limopsidae,BIVALVIA
LQJ,Lottia gigantea,Lottiidae,GASTROPODA
LQK,Lithopoma caelatum,Turbinidae,GASTROPODA
LQL,Pleuroncodes planipes,Galatheidae,ANOMURA
LQM,Lysiosquillina maculata,Lysiosquillidae,STOMATOPODA
LQN,Patella nigra,Patellidae,GASTROPODA
LQO,Lethrinus ornatus,Lethrinidae,PERCOIDEI
LQP,Lysiosquilla panamica,Lysiosquillidae,STOMATOPODA
LQQ,Haliotis planata,Haliotidae,GASTROPODA
LQR,Patella rustica,Patellidae,GASTROPODA
LQS,Lysiosquilla scabricauda,Lysiosquillidae,STOMATOPODA
LQT,Lottia limatula,Lottiidae,GASTROPODA
LQU,Loripes lucinalis,Lucinidae,BIVALVIA
LQV,Liocarcinus vernalis,Portunidae,BRACHYURA
LQW,Haliotis varia,Haliotidae,GASTROPODA
LQX,Saccharina latissima,Laminariaceae,PHAEOPHYCEAE
LQY,Patella ulyssiponensis,Patellidae,GASTROPODA
LQZ,Liocarcinus spp.,Portunidae,BRACHYURA
LRA,Clarias alluaudi,Clariidae,SILURIFORMES
LRB,Pristipomoides sieboldii,Lutjanidae,PERCOIDEI
LRC,Paracaesio caerulea,Lutjanidae,PERCOIDEI
LRD,Laridae,Laridae,CHARADRIIFORMES
LRE,Radiicephalus elongatus,Radiicephalidae,LAMPRIFORMES
LRF,Larimus effulgens,Sciaenidae,PERCOIDEI
LRG,Paracaesio gonzalesi,Lutjanidae,PERCOIDEI
LRH,Labeo rohita,Cyprinidae,CYPRINIFORMES
LRI,Pristipomoides multidens,Lutjanidae,PERCOIDEI
LRJ,Larimus breviceps,Sciaenidae,PERCOIDEI
LRK,Paracaesio kusakarii,Lutjanidae,PERCOIDEI
LRL,Latris lineata,Latridae,PERCOIDEI
LRM,Cleithracara maronii,Cichlidae,PERCOIDEI
LRN,Clarias ngamensis,Clariidae,SILURIFORMES
LRO,Selar boops,Carangidae,PERCOIDEI
LRP,Leiarius marmoratus,Pimelodidae,SILURIFORMES
LRQ,Larabicus quadrilineatus,Labridae,PERCOIDEI
LRR,Larimus argenteus,Sciaenidae,PERCOIDEI
LRS,Liobranchia stria,Gobiesocidae,GOBIESOCIFORMES
LRT,Clarias theodorae,Clariidae,SILURIFORMES
LRU,Pristipomoides typus,Lutjanidae,PERCOIDEI
LRV,Larimus acclivis,Sciaenidae,PERCOIDEI
LRW,Clarias werneri,Clariidae,SILURIFORMES
LRX,Paracaesio xanthura,Lutjanidae,PERCOIDEI
LRY,Pristipomoides argyrogrammicus,Lutjanidae,PERCOIDEI
LRZ,Littoraria scabra,Littorinidae,GASTROPODA
LSA,Leptosynanceia asteroblepa,Synanceiidae,SCORPAENIFORMES
LSB,Leptostomias bilobatus,Stomiidae,STOMIIFORMES
LSC,Stylephorus chordatus,Stylephoridae,LAMPRIFORMES
LSD,Liposarcus pardalis,Loricariidae,SILURIFORMES
LSE,Cephalocassis melanochir,Ariidae,SILURIFORMES
LSF,Alphestes afer,Serranidae,PERCOIDEI
LSG,Labrisomus gobio,Labrisomidae,OTHER PERCIFORMES
LSH,Plesienchelys stehmanni,Zoarcidae,ZOARCOIDEI
LSI,Larimus pacificus,Sciaenidae,PERCOIDEI
LSJ,Alepes djedaba,Carangidae,PERCOIDEI
LSL,Lates microlepis,Centropomidae,PERCOIDEI
LSM,Lates mariae,Centropomidae,PERCOIDEI
LSN,Alepes melanoptera,Carangidae,PERCOIDEI
LSO,Lepidopsetta mochigarei,Pleuronectidae,PLEURONECTIFORMES
LSQ,Latreutes laminirostris,Hippolytidae,NATANTIA
LSR,Placidochromis electra,Cichlidae,PERCOIDEI
LSS,Leuresthes sardina,Atherinidae,ATHERINIFORMES
LST,Alphestes multiguttatus,Serranidae,PERCOIDEI
LSU,Labidesthes sicculus,Atherinidae,ATHERINIFORMES
LSV,Alepes vari,Carangidae,PERCOIDEI
LSW,Lissocampus bannwarthi,Syngnathidae,SYNGNATHIFORMES
LSX,Lophiosilurus alexandri,Pimelodidae,SILURIFORMES
LSZ,Lethenteron camtschaticum,Petromyzontidae,PETROMYZONTIFORMES
LTA,Euthynnus alletteratus,Scombridae,SCOMBROIDEI
LTC,Leptodoras acipenserinus,Doradidae,SILURIFORMES
LTD,Alectis indicus,Carangidae,PERCOIDEI
LTE,Lethrinus enigmaticus,Lethrinidae,PERCOIDEI
LTF,Leptoichthys fistularius,Syngnathidae,SYNGNATHIFORMES
LTG,Lates angustifrons,Centropomidae,PERCOIDEI
LTH,Leiopotherapon aheneus,Terapontidae,PERCOIDEI
LTI,Lethrinus laticaudis,Lethrinidae,PERCOIDEI
LTJ,Lutjanus vivanus,Lutjanidae,PERCOIDEI
LTK,Lethrinus harak,Lethrinidae,PERCOIDEI
LTL,Culter alburnus,Cyprinidae,CYPRINIFORMES
LTM,Limnothrissa miodon,Clupeidae,CLUPEIFORMES
LTN,Lethrinus atlanticus,Lethrinidae,PERCOIDEI
LTO,Lates macrophthalmus,Centropomidae,PERCOIDEI
LTP,Lotella phycis,Moridae,GADIFORMES
LTQ,Lethrinus mahsena,Lethrinidae,PERCOIDEI
LTR,Lamontichthys maracaibero,Loricariidae,SILURIFORMES
